"Natural_Landmark","State"
"Fort Worth Nature Center and Refuge","Texas"
"Greenwood Canyon","Texas"
"High Plains Natural Area","Texas"
"Independence Creek Preserve","Texas"
"Little Blanco River Bluff","Texas"
"Longhorn Cavern","Texas"
"Lost Maples State Natural Area","Texas"
"Muleshoe National Wildlife Refuge","Texas"
"Odessa Meteor Crater","Texas"
"Palo Duro Canyon State Park","Texas"
"Santa Ana National Wildlife Refuge","Texas"
"Natural Bridge Caverns","Texas"
"Cave Without a Name","Texas"
"Coki Point Cliffs","Virgin Islands"
"Green Cay National Wildlife Refuge","Virgin Islands"
"Lagoon Point","Virgin Islands"
"Sandy Point National Wildlife Refuge","Virgin Islands"
"Salt River Bay","Virgin Islands"
"Vagthus Point","Virgin Islands"
"West End Cays","Virgin Islands"
"Source:[1]","Wisconsin"
